Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
chanel-bleu-de-chanel-eau de parfum-tester,Chanel Bleu De Chanel EDP,Un accord agrumes majestueux soutenu par un sillage profondément boisé de cèdre sec et de bois de santal de Nouvelle-Calédonie. L'élégance absolue et insoumise.,Chanel,Boisé Aromatique,,"tester,nouveau",TRUE,Title,Default Title,REF-CHA-235,shopify,9,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986795947-Chanel_Bleu_De_Chanel.jpg,active
elie-saab-le-parfum-tester,Elie Saab Le Parfum L'eau Couture,Testeur authentique de Elie Saab par Jean Paul Gaultier. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Elie Saab,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-ELI-261,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986847848-Elie_Saab.jpg,active
burberry-her-eau-de-parfum-intense-tester,Burberry Her EDP Intense,"Une explosion de fruits rouges juteux (fraise, framboise) adoucie par un fond aérien de musc et d'ambre. Une signature urbaine, audacieuse et résolument moderne.",Burberry,Floral Fruité Gourmand,,"tester,nouveau",TRUE,Title,Default Title,REF-BUR-231,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784027880065-120962463-burberry_her.jpg,active
emporio-armani-stronger-with-you-parfum-tester,Armani Stronger With You Parfum,Testeur authentique de Emporio Armani Stronger With You Parfum par Giorgio Armani. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Giorgio Armani,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-ARM-116,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986798057-Emporio_Armani_Stronger_With_You_Parfum.jpg,active
jean-paul-gaultier-le-male-eau-de-toilette-tester,Jean Paul Gaultier - LE MALE IN THE NAVY,"Un sillage torride où la lavande aromatique se fond dans une fève tonka addictive, un benjoin sensuel et un accord tabac miellé. Extrêmement charismatique.",Jean Paul Gaultier,Ambré Fougère,,"tester,nouveau",TRUE,Title,Default Title,REF-JEA-284,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986796395-Jean_Paul_Gaultier_-_LE_MALE_IN_THE_NAVY.jpg,active
Paco-by-Paco-Rabanne-Eau-de-Toilette,Paco by Paco Rabanne – Eau de Toilette,"Paco de Rabanne est une fragrance fraîche, spontanée et intemporelle, pensée pour celles et ceux qui recherchent un parfum facile à porter sans renoncer à une véritable identité olfactive. Lancé en 1995 et créé par le parfumeur Rosendo Mateu, Paco adopte une approche résolument unisexe, construite autour d’un équilibre entre fraîcheur hespéridée, accords aromatiques et profondeur boisée.

L’ouverture se révèle immédiatement vive et énergique. Le citron d’Amalfi et la mandarine apportent une fraîcheur pétillante, tandis que le pin ajoute une facette verte et légèrement résineuse. Une touche de coriandre vient compléter l’ensemble avec une nuance aromatique subtilement épicée.

Au cœur, la fragrance devient plus douce et apaisante. Le thé rencontre la lavande, le jasmin et le cyclamen, créant un accord frais, floral et propre qui conserve toute la légèreté de la composition.

Enfin, le parfum évolue vers un fond plus enveloppant composé de musc, bois de santal, cèdre de Virginie et fève tonka. Ces notes apportent une dimension boisée, douce et légèrement poudrée qui équilibre parfaitement la fraîcheur des premières notes.

Paco est ainsi un parfum frais et polyvalent, idéal au quotidien, particulièrement agréable pendant les journées de printemps et d’été. Son caractère propre, vert et boisé en fait une fragrance qui traverse les styles et les genres avec simplicité.",Paco Rabanne,Hespéridé Aromatique,,,TRUE,Title,Default Title,,shopify,5,continue,manual,399,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1788983602074-521711626-Paco_Rabanne_EDT.jpg,active
chanel-n-5-tester,Chanel N 5,"Le bouquet floral abstrait mythique, magnifié par une utilisation révolutionnaire d'aldéhydes. Un parfum intemporel, luxueux et légendaire.",Chanel,Floral Aldéhydé,,"tester,nouveau",TRUE,Title,Default Title,REF-CHA-239,shopify,10,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986801126-Chanel_N_5.jpg,active
la-vie-est-belle-tester,LANCÔME La Vie Est Belle,Testeur authentique de La Vie Est Belle par Jean Paul Gaultier. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Lancôme,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-LAN-298,shopify,10,continue,manual,299,449,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986800717-La_Vie_Est_Belle.jpg,active
creed-silver-mountain-water-eau-de-parfum-tester,Creed Silver Mountain Water,"Un courant d'air pur mêlant le thé vert, le cassis et le bois de santal. Une composition cristalline, vivifiante et d'une rare élégance.",Creed,Aromatique,,"tester,nouveau",TRUE,Title,Default Title,REF-CRE-244,shopify,,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986801660-Creed_Silver_Mountain_Water.jpg,active
delina-exclusif-tester,Parfums De Marly Delina Exclusif,Testeur authentique de Delina Exclusif par Jean Paul Gaultier. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Parfums de Marly,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-PAR-247,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029333455-395117864-Delina_exclusif.jpg,active
HUGO-Dark-Blue-Eau-de-Toilette,HUGO Dark Blue – Eau de Toilette,"HUGO Dark Blue est une fragrance masculine au caractère contrasté, construite autour d’une rencontre entre fraîcheur pétillante et chaleur épicée. Lancé en 1999, ce parfum signé Alain Astori et Béatrice Piquet incarne une personnalité libre, nocturne et audacieuse. Son flacon bleu profond inspiré d’un shaker à cocktail traduit parfaitement son univers dynamique et urbain.

Dès les premières secondes, Dark Blue dévoile une ouverture vive et énergique dominée par le gingembre, accompagné du pamplemousse, de l’orange, du citron vert et du citron. Cette combinaison crée une fraîcheur agrumée légèrement piquante qui donne immédiatement du caractère à la fragrance.

Le cœur devient ensuite plus aromatique et épicé. Le cyprès et l’acajou apportent une profondeur boisée, tandis que la cardamome, la sauge et le géranium enrichissent la composition d’une facette masculine, élégante et légèrement épicée.

En fond, Dark Blue révèle sa facette la plus chaleureuse. La vanille et le benjoin offrent une douceur ambrée et enveloppante, équilibrée par le cèdre, le vétiver et le patchouli, qui apportent structure, profondeur et caractère. Cette évolution transforme progressivement la fraîcheur initiale en un sillage plus chaud et sensuel.

HUGO Dark Blue est ainsi un parfum idéal pour l’homme qui recherche une fragrance à la fois fraîche, épicée et chaleureuse, facile à porter mais avec une vraie personnalité. Il se prête particulièrement bien aux soirées, aux sorties et aux saisons plus fraîches.",Hugo Boss,Ambré Épicé,,,TRUE,Title,Default Title,,shopify,2,continue,manual,499,599,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1788984053741-56057275-Hugo_boss_dark_blue.jpg,active
Pacific-Pour-Homme,Pacific (Pour Homme),"Inspiré par l'immensité turquoise et la puissance revigorante des grands espaces marins, Pacific Pour Homme de la maison Rayhaan est une célébration de la liberté, de l'aventure et de la fraîcheur absolue. Présenté dans un flacon sculptural bleu lagon orné d'arabesques calligraphiques modernes et surmonté d'un bouchon doré luxueux, il évoque la clarté éclatante d'une eau baignée de soleil.

Dès l'ouverture, la fragrance libère une vague d'énergie électrisante grâce à un cocktail hespéridé pétillant de mandarine et de bergamote, immédiatement transporté par des embruns marins iodés et une touche épicée de cardamome. Le cœur se déploie dans une fraîcheur aromatique et raffinée où la lavande et la sauge s'associent aux nuances vertes de la feuille de violette. En séchant sur la peau, Pacific dévoile une base boisée et sensuelle dominée par le cèdre noble, le vétiver et un accord d'ambre gris musqué, laissant un sillage net, viril, ultra-séduisant et d'une remarquable longévité sous la chaleur.",Rayhaan,Aromatique Boisé,,,FALSE,Title,Default Title,REF-RAY-389,shopify,10,continue,manual,500,,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1787675561617-678974058-pacific_ocean_rush.jpg,draft
armani-prive-magenta-tanzanite-tester,Armani Prive Magenta Tanzanite,"Une interprétation vibrante de la vanille et du tabac, électrisée par la cardamome et le gingembre. Un sillage chaud, luxueux et résolument solaire.",Giorgio Armani,Ambré Épicé,,"tester,nouveau",TRUE,Title,Default Title,REF-ARM-055,shopify,,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986804567-armani_prive_magenta.jpg,active
coco-mademoiselle-edp-tester,Chanel Coco Mademoiselle Edp,Un contraste saisissant entre la fraîcheur éclatante de l'orange et la sensualité affirmée du patchouli et de la rose de mai. Une signature audacieuse et irrésistible.,Chanel,Ambré Floral,,"tester,nouveau",TRUE,Title,Default Title,REF-CHA-242,shopify,9,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986802863-Coco_Mademoiselle_Edp.jpg,active
amouage-honour-woman-tester,Amouage Honour Woman,"Une dualité fascinante entre la douceur du kiwi et de la rose, et l'intensité sombre de l'encens, de la myrrhe et du cuir. Une aura intime et déroutante.",Amouage,Chypré Floral,,"niche,tester",TRUE,Title,Default Title,REF-AMO-050,shopify,,continue,manual,299,,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784027218091-26065624-amouage_honour_women.jpg,active
narciso-rodriguez-for-her-eau-de-toilette-tester,Narciso Rodriguez For Her,"Le musc signature s'embrase au contact d'un bouquet rouge flamboyant d'iris et de rose bulgare, soutenu par des bois d'ambre et de cèdre. Pur magnétisme.",Narciso Rodriguez,Floral Boisé Musqué,,"tester,nouveau",TRUE,Title,Default Title,REF-NAR-309,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029206129-808231257-Narciso_Rodriguez_For_Her_edt.jpg,active
parfums-de-marly-layton-eau-de-parfum-tester,Parfums De Marly Layton EDP,"La fraîcheur de la pomme et de la bergamote plonge dans un cœur de lavande et de géranium, réchauffé par la vanille, le poivre rose et le bois de gaïac. Majestueux.",Parfums de Marly,Ambré Floral (Épicé),,"tester,nouveau",TRUE,Title,Default Title,REF-PAR-319,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986809273-Parfums_De_Marly_Layton.jpg,active
dolce-gabbana-devotion-eau-de-parfum-tester,Dolce Gabbana Devotion,L'acidité lumineuse du citron confit rencontre l'éclat de la fleur d'oranger avant de plonger dans une vanille chaude et exquise. Un délice solaire et enveloppant.,Dolce & Gabbana,Ambré Vanillé,,"tester,nouveau",TRUE,Title,Default Title,REF-DOL-109,shopify,10,continue,manual,299,,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986806290-Dolce_Gabbana_Devotion_intense.jpg,active
kayali-vanille-28-tester,Kayali Vanille 28,Testeur authentique de Kayali Vanille 28 par Jean Paul Gaultier. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Kayali,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-KAY-292,shopify,10,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784028972652-770033703-KAYALI_Vanilla_28.jpg,active
delina-la-rosee-parfums-de-marly-tester,Parfums De Marly Delina La Rosee ,Testeur authentique de Delina La Rosee Parfums De Marly par Jean Paul Gaultier. Profitez de la même fragrance exceptionnelle à un prix imbattable.,Parfums de Marly,Signature,,"tester,nouveau",TRUE,Title,Default Title,REF-PAR-248,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784029355838-384810753-Delina_La_Rosee_Parfums_De_Marly.jpg,active
dior-poison-eau-de-parfum-tester,Dior Poison EDT,"Un filtre magique et vénéneux où la coriandre, la tubéreuse opulente et l'opoponax créent un sillage épicé, sombre et inoubliable. La provocation absolue.",Dior,Ambré Floral,,"tester,nouveau",TRUE,Title,Default Title,REF-DIO-251,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986808010-Dior_Poison.jpg,active
dolce-gabbana-light-blue-tester,Dolce Gabbana Light Blue pour Femme EDT,La fraîcheur pétillante du citron de Sicile et de la pomme croquante se marie à l'élégance du jasmin et du bois de cèdre. Une brise estivale intemporelle.,Dolce & Gabbana,Floral Fruité,,"tester,nouveau",TRUE,Title,Default Title,REF-DOL-112,shopify,10,continue,manual,299,400,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986806717-Dolce_Gabbana_Light_Blue.jpg,active
GIORGIO-ARMANI-MY-WAY-Ylang-edp,ARMANI MY WAY Ylang edp,"My Way Ylang de Giorgio Armani est une invitation inédite à un voyage sensoriel au cœur des îles tropicales les plus précieuses. Conservant l'esprit d'exploration et d'ouverture sur le monde propre à la collection emblématique, cet élixir s'habille d'un flacon lumineux couronné d'un talisman de pierre ambrée et rose corail translucide, évoquant la chaleur et la lumière d'un coucher de soleil exotique. Ce parfum s'adresse à une femme rayonnante, solaire et audacieuse, qui embrasse ses expériences avec passion.

L'aventure olfactive s'ouvre sur une envolée d'agrumes fusants et pétillants, où la mandarine de Sicile apporte une clarté instantanée à la fraîcheur signature de la fleur d'oranger. En son cœur, la fragrance révèle une richesse charnelle et veloutée spectaculaire : l'ylang-ylang des Comores, véritable joyau floral à la fois crémeux et solaire, s'associe à l'opulence de la tubéreuse d'Inde pour draper la peau d'une sensualité envoûtante. Enfin, le sillage s'épanouit dans une rondeur addictive et réconfortante, portée par l'onctuosité du bois de santal et la douceur de la vanille Bourbon.

À la fois lumineux, chaud et profondément magnétique, My Way Ylang réinvente la sophistication haute couture d'Armani à travers un prisme exotique et solaire. C'est la signature estivale absolue pour illuminer chaque journée d'une aura luxueuse, vibrante et irrésistible.",Giorgio Armani,Floral,,,TRUE,Title,Default Title,REF-ARM-363,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784390443445-507573807-GIORGIO_ARMANI-MY_WAY_Ylang_edp.jpg,active
GUCCI-FLORA-GORGEOUS-GARDENIA-INTENSE-Eau-de-Parfum,GUCCI FLORA GORGEOUS GARDENIA INTENSE EDP,"Flora Gorgeous Gardenia Intense de Gucci pousse la signature joyeuse et fleurie de la collection originale vers un sommet d'opulence, de densité et de sensualité. Capturée dans un flacon de verre laqué d'un magenta profond et mystérieux, magnifiée par le célèbre motif floral Flora de la maison, cette fragrance est une ode à la force intérieure, à l'optimisme et à la haute couture. Elle s'adresse à la femme audacieuse qui embrasse sa liberté et rayonne avec une assurance contagieuse.

L'histoire olfactive s'ouvre sur une envolée fruitée et lumineuse, où la douceur délicate de la fleur de poirier s'anime au contact des baies rouges pour captiver dès les premières secondes. En son cœur, le parfum dévoile toute sa puissance botanique et charnelle : le gardénia blanc, magnétique et texturé, s'associe à la richesse de l'absolu de jasmin pour créer un bouquet d'une générosité spectaculaire. Enfin, le sillage évolue vers une profondeur délicieusement addictive, enveloppant la peau d'un accord de sucre roux et de patchouli moderne qui confère à la fragrance une tenue et une intensité remarquables.

Plus riche, plus texturée et résolument captivante, cette version Intense est une véritable déclaration de style. C'est le sillage parfait pour celles qui veulent transformer leur parfum en une signature mémorable, vibrante et infiniment sophistiquée.",Gucci,Floral,,,TRUE,Title,Default Title,REF-GUC-361,shopify,10,continue,manual,299,399,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784389840798-451838870-gucci_flora_intense.jpg,active
amouage-interlude-man-tester,Amouage Interlude Men,"Un chef-d'œuvre de résines, de cuir et d'encens fumé, adouci par une touche d'origan et de vanille. Un parfum à la puissance monumentale et hypnotique.",Amouage,Oriental Boisé,,"niche,tester",TRUE,Title,Default Title,REF-AMO-054,shopify,,continue,manual,299,,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784027249449-582318655-amouage_interloude_men.jpg,active
ARMANI- MY-WAY-FLORAL-Eau-de-Parfum,ARMANI MY WAY FLORAL EDP,"My Way Floral de Giorgio Armani est une réinterprétation plus fraîche, lumineuse et pétillante du bouquet floral blanc emblématique de la collection originale. Capturée dans un flacon sculptural en verre givré translucide évoquant la douceur de la rosée du matin, cette fragrance cristallise le frisson d'une nouvelle rencontre et l'élan vers la découverte de soi. Elle s'adresse à la femme curieuse, rayonnante et indépendante qui embrasse le monde avec optimisme.

L'aventure olfactive s'ouvre sur un éclat hespéridé saisissant, où la mandarine verte rencontre la vivacité lumineuse de la fleur d'oranger et du néroli pour apporter une fraîcheur fusante dès les premiers instants. En son cœur, la fragrance dévoile toute sa poésie botanique : la tubéreuse d'Inde, charnelle et iconique, s'associe à la délicatesse du néroli pour draper la peau d'un voile floral moderne et élégant. Enfin, le sillage s'épanouit dans une base réconfortante d'une douceur remarquable, portée par l'onctuosité de la vanille Bourbon de Madagascar et un nuage de muscs blancs effet ""seconde peau"".

À la fois éclatant, doux et profondément inspirant, My Way Floral combine une sophistication haute couture à une fraîcheur addictive. C'est la signature printanière et estivale idéale pour illuminer chaque journée d'une aura chic et mémorable.",Giorgio Armani,Floral,,,TRUE,Title,Default Title,REF-ARM-362,shopify,10,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/1784390075196-292118661-my_way_floral_edp.jpg,active
si-passione-tester,Armani SÌ PASSIONE EDP Intense,"Le nectar de cassis signature se fait plus liquoreux, enveloppant un cœur floral vibrant et un fond boisé suave. Une tension sensuelle irrésistible.",Giorgio Armani,Ambré Floral,,"tester,nouveau",TRUE,Title,Default Title,REF-ARM-182,shopify,10,continue,manual,299,400,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986810313-Si_Passione.jpg,active
armani-stronger-with-you-oud-tester,Armani Stronger With You Oud,"Une combinaison majestueuse de bois de oud et de tabac riche, adoucie par la fève tonka, l'encens et les agrumes. Un parfum envoûtant, chaud et texturé.",Giorgio Armani,Ambré Boisé,,"tester,nouveau",TRUE,Title,Default Title,REF-ARM-073,shopify,9,continue,manual,299,499,TRUE,TRUE,https://l3qgcdajft9wdkxz.public.blob.vercel-storage.com/raw-1783986814636-armani_stronger_with_you_oud.jpg,active
